UNITID,ADDRESS,SCIENTIFIC_NAME,COMMON_NAME,TREEHEIGHT,DIAMETER,LAT,LONG,OWNERSHIP,EXCEPTIONAL
TRE-52045,7222 5TH AVE NW,Chamaecyparis nootkatensis,Alaska (Yellow) Cedar,0,32,47.6814286945129,-122.362411612025,PRIV,N
TRE-25545,9701 27TH AV NE,Alnus rubra,Red Alder,0,12,47.6995020423239,-122.298905598503,PRIV,N
TRE-32947,2811 10TH PL W,Acer macrophyllum,Bigleaf Maple,0,20,47.645480452663,-122.370374552483,PRIV,N
TRE-32227,2582 WESTVIEW DR W,Thuja plicata,Western Red Cedar,0,41,47.6430358377948,-122.370790614268,PRIV,N
TRE-26862,4100 UNIVERSITY WY NE,Betula papyrifera,Paper (Canoe) Birch,0,4,47.6568958626,-122.313000707822,PRIV,N
TRE-24677,1217 NE 102ND ST,Pseudotsuga menziesii,Douglas Fir,0,17,47.7021317754271,-122.31437869159,PRIV,N
TRE-72042,1138 44TH AV SW,Tsuga mertensiana,Mountain Hemlock,0,3,47.592267630699,-122.387189736926,PRIV,N
TRE-61176,323 N 83RD ST,Tsuga heterophylla,Western Hemlock,0,14,47.6890597694624,-122.354213701143,PRIV,N
TRE-17288,2318 N 140TH ST,Pseudotsuga menziesii,Douglas Fir,0,31,47.730515907378,-122.330827496289,PRIV,N
TRE-24050,501 N 104TH ST,Pseudotsuga menziesii,Douglas Fir,0,9,47.7041258218152,-122.352668458551,PRIV,N
TRE-15618,13739 LINDEN AV N,Pseudotsuga menziesii,Douglas Fir,0,26,47.7296518856494,-122.348083330412,PRIV,N
TRE-22013,3701 AURORA AVE N,Pinus contorta,Shore Pine,0,25,47.6522484445394,-122.347483346669,SDOT,N
TRE-25731,9706 20TH AV NE,Tsuga heterophylla,Western Hemlock,0,12,47.6994283202763,-122.306750812445,PRIV,N
TRE-67312,6523 38TH AV NE,Pseudotsuga menziesii,Douglas Fir,0,2,47.6765973850127,-122.287634758835,PRIV,N
TRE-76378,4118 41ST AV SW,Acer macrophyllum,Bigleaf Maple,0,29,47.5659209581943,-122.384053807017,PRIV,N
TRE-27784,4126 SUNNYSIDE AVE N,Chamaecyparis nootkatensis,Alaska (Yellow) Cedar,0,34,47.6575519983881,-122.330146225814,PRIV,N
TRE-25639,10537 17TH AV NE,Thuja plicata,Western Red Cedar,0,17,47.7048807210738,-122.309826189727,PRIV,N
TRE-25329,3233 NE 92ND ST,Thuja plicata,Western Red Cedar,0,38,47.6955875053933,-122.291772935172,PRIV,N
TRE-6786,5008 12TH AV NE,Acer macrophyllum,Bigleaf Maple,0,36,47.6657579889271,-122.314218418569,PRIV,N
TRE-24554,547 NE 105TH ST,Pseudotsuga menziesii,Douglas Fir,0,18,47.7048980738167,-122.321355169981,PRIV,N
TRE-43720,1005 E ROY ST,Thuja plicata,Western Red Cedar,0,2,47.6251701313102,-122.319800555872,PRIV,N
TRE-30217,2502 25TH AV W,Chamaecyparis nootkatensis,Alaska (Yellow) Cedar,0,1,47.6412119176008,-122.388287049191,PRIV,N
TRE-13946,3003 34TH AV W,Pseudotsuga menziesii,Douglas Fir,0,26,47.6468800620753,-122.40134962225,PRIV,N
TRE-86715,9214 45TH AV SW,Acer circinatum,Vine Maple,0,1,47.521071145219,-122.390131241661,PRIV,N
TRE-24342,737 N 90TH ST,Pseudotsuga menziesii,Douglas Fir,0,6,47.6941497638108,-122.348388420269,PRIV,N
TRE-24647,853 NE 102ND ST,Abies procera,Noble Fir,0,26,47.7021548120987,-122.318087931829,PRIV,N
TRE-22996,9000 2ND AVE NW,Thuja plicata,Western Red Cedar,0,18,47.6953928316726,-122.359287626616,PRIV,N
TRE-21277,302 N 44TH ST,Acer macrophyllum,Bigleaf Maple,0,25,47.6602678684516,-122.355033142493,PRIV,N
TRE-58902,802 15TH AVE,Acer macrophyllum,Bigleaf Maple,0,30,47.6095117288433,-122.312768348491,PRIV,N
TRE-65750,7035 21ST AV NE,Alnus rubra,Red Alder,0,6,47.6812049203303,-122.305491048631,PRIV,N
TRE-32261,2609 8TH AV W,Alnus rubra,Red Alder,0,14,47.6433976993885,-122.367643195822,PARK,N
TRE-40727,1110 1ST AV W,Acer macrophyllum,Bigleaf Maple,0,24,47.6291423977612,-122.357856602458,PRIV,N
TRE-23699,9550 INTERLAKE AV N,Acer macrophyllum,Bigleaf Maple,0,2,47.6992550920722,-122.340759024993,PRIV,N
TRE-74993,1908 S WALKER ST,Thuja plicata,Western Red Cedar,0,20,47.5837248969157,-122.307573499815,PRIV,N
TRE-32349,2534 13TH AV W,Acer macrophyllum,Bigleaf Maple,0,11,47.6416714868567,-122.373641707037,PRIV,N
TRE-75573,3214 62ND AV SW,Acer macrophyllum,Bigleaf Maple,0,40,47.5754025160498,-122.41198415473,PRIV,N
TRE-10354,2299 NE 60TH ST,Abies procera,Noble Fir,0,13,47.6720557344002,-122.301595202768,PRIV,N
TRE-20259,4126 WOODLAND PARK AV N,Populus tremuloides,Quaking Aspen,0,1,47.6574166792356,-122.344545944655,PRIV,N
TRE-5545,4916 WHITMAN AVE N,Thuja plicata,Western Red Cedar,0,47,47.6648079332069,-122.345996096774,PRIV,N
TRE-25239,2726 NE 103RD ST,Thuja plicata,Western Red Cedar,0,20,47.7031397843847,-122.297265628367,PRIV,N
TRE-93720,12701 30TH AV NE,Acer circinatum,Vine Maple,0,7,47.7217030733347,-122.296261199263,PRIV,N
TRE-12987,4818 38TH AV NE,Pinus ponderosa,Ponderosa Pine,0,17,47.6641119055989,-122.286445237856,PRIV,N
TRE-43114,1155 BROADWAY AVE E,Acer macrophyllum,Bigleaf Maple,0,22,47.6298237163822,-122.322271001916,PRIV,N
TRE-500144,2125 N 86TH ST,Arbutus menziesii,(Pacific) Madrona,0,6,47.690785279661,-122.332553919831,SDOT,N
TRE-18542,11756 12TH AV NE,Cornus nuttallii,Pacific Dogwood,0,12,47.7157457572116,-122.315010755392,PRIV,N
TRE-15075,136 NW 136TH ST,Tsuga heterophylla,Western Hemlock,0,6,47.7287059401533,-122.35918726959,PRIV,N
TRE-25290,9204 27TH AV NE,Alnus rubra,Red Alder,0,16,47.6962116858188,-122.298690924946,PRIV,N
TRE-43717,1005 E ROY ST,Thuja plicata,Western Red Cedar,0,1,47.6250772030073,-122.319777620634,PRIV,N
TRE-25668,2325 NE 103RD ST,Pseudotsuga menziesii,Douglas Fir,0,4,47.7029541535359,-122.303593084083,PRIV,N
TRE-25586,2744 NE 98TH ST,Thuja plicata,Western Red Cedar,0,25,47.7002740070118,-122.296813753477,PRIV,N
TRE-95103,621 NW 73RD ST,Cornus nuttallii,Pacific Dogwood,0,10,47.6817309324093,-122.364245283851,PRIV,N
TRE-18718,1049 NE 113TH ST,Betula papyrifera,Paper (Canoe) Birch,0,5,47.7105191184199,-122.315397322263,PRIV,N
TRE-59590,1924 E SPRUCE ST,Acer macrophyllum,Bigleaf Maple,0,22,47.6035668827574,-122.306655782657,PRIV,N
TRE-43596,606 13TH AVE E,Abies procera,Noble Fir,0,4,47.6244899577111,-122.315607588095,PRIV,N
TRE-17900,2008 NE 127TH ST,Pseudotsuga menziesii,Douglas Fir,0,11,47.7212837345218,-122.306822432897,PRIV,N
TRE-45433,2600 E HELEN ST,Pseudotsuga menziesii,Douglas Fir,0,4,47.6282149231663,-122.298349185129,PRIV,N
TRE-4186,5527 WOODLAWN AV N,Thuja plicata,Western Red Cedar,0,37,47.6696141676699,-122.338048236948,PRIV,N
TRE-37180,1916 HARVARD AV E,Acer macrophyllum,Bigleaf Maple,0,1,47.636447457197,-122.322358200298,PRIV,N
TRE-1039072,915 14TH AVE E,Acer macrophyllum,Bigleaf Maple,0,29,47.6271919986094,-122.314600001159,PARK,N
TRE-34611,1912 NW 77TH ST,Tsuga heterophylla,Western Hemlock,0,13,47.6850716980282,-122.381786819547,PRIV,N
TRE-48570,E HARRISON ST AND 18TH AVE E,Thuja plicata,Western Red Cedar,0,14,47.6220679806683,-122.30870469615,PRIV,N
TRE-1035153,10500 5TH AVE NE,Fraxinus latifolia,Oregon Ash,0,3,47.7050209993081,-122.322000001573,SDOT,N
TRE-20931,3645 DENSMORE AV N,Thuja plicata,Western Red Cedar,0,28,47.6519443354976,-122.338072517694,PRIV,N
TRE-45702,2806 E ROY ST,Acer macrophyllum,Bigleaf Maple,0,21,47.6251998504418,-122.296130845228,PRIV,N
TRE-21623,4117 WHITMAN AVE N,Populus tremuloides,Quaking Aspen,0,10,47.657268357068,-122.346010808377,PRIV,N
TRE-19792,11308 SAND POINT WY NE,Thuja plicata,Western Red Cedar,0,24,47.7109967077929,-122.281069985821,PRIV,N
TRE-15058,106 NW 136TH ST,Pseudotsuga menziesii,Douglas Fir,0,14,47.7287029647215,-122.358589760074,PRIV,N
TRE-40932,505 ROY ST,Chamaecyparis nootkatensis,Alaska (Yellow) Cedar,0,10,47.6258082793583,-122.363547073514,PRIV,N
TRE-26823,4220 12TH AV NE,Rhus glabra,Smooth Sumac,0,2,47.6590469275058,-122.315428098521,PRIV,N
TRE-72142,2106 42ND AV SW,Thuja plicata,Western Red Cedar,0,23,47.5850813159882,-122.384936624906,PRIV,N
TRE-93751,3001 NE 130TH,Acer circinatum,Vine Maple,0,3,47.7228124977383,-122.296272080329,PRIV,N
TRE-25827,8902 20TH AV NE,Pseudotsuga menziesii,Douglas Fir,0,5,47.6933162117936,-122.306768341537,PRIV,N
TRE-65733,7002 19TH AV NE,Betula papyrifera,Paper (Canoe) Birch,0,10,47.6794949171023,-122.307538302747,PRIV,N
TRE-30223,2502 25TH AV W,Chamaecyparis nootkatensis,Alaska (Yellow) Cedar,0,1,47.6412169829322,-122.388518466892,PRIV,N
TRE-15315,13017 10TH AV NW,Thuja plicata,Western Red Cedar,0,33,47.7238129467063,-122.369491288336,PRIV,N
TRE-1039457,2400 THORNDYKE AV W,Acer macrophyllum,Bigleaf Maple,0,12,47.639548998585,-122.387000001537,PARK,N
TRE-1035046,11356 20TH AVE NE,Acer circinatum,Vine Maple,0,1,47.7119202782452,-122.306192799845,SDOT,N
TRE-47002,917 18TH AVE E,Acer macrophyllum,Bigleaf Maple,0,15,47.6274750423434,-122.308716093037,PRIV,N
TRE-21780,3915 WOODLAND PARK AVE N,Thuja plicata,Western Red Cedar,0,6,47.6546115977392,-122.344752545742,PRIV,N
TRE-36847,2309 11TH AV E,Populus tremuloides,Quaking Aspen,0,4,47.6398576132285,-122.318017362493,PRIV,N
TRE-17771,13525 22ND AV NE,Arbutus menziesii,(Pacific) Madrona,0,22,47.727536833685,-122.305866064339,PRIV,N
TRE-6368,1301 NE 62ND ST,Acer macrophyllum,Bigleaf Maple,0,17,47.6738354209255,-122.312191993126,PRIV,N
TRE-18737,11045 15TH AV NE,Acer macrophyllum,Bigleaf Maple,0,60,47.7097894812236,-122.312529223512,PRIV,N
TRE-18078,106 NW 112TH ST,Thuja plicata,Western Red Cedar,0,28,47.7106761185531,-122.358856606305,PRIV,N
TRE-47428,751 21ST AVE E,Acer macrophyllum,Bigleaf Maple,0,25,47.6266474218593,-122.304867748318,PRIV,N
TRE-11067,4728 19TH AV NE,Cornus nuttallii,Pacific Dogwood,0,12,47.6638571076488,-122.307130696482,PRIV,N
TRE-79304,4113 37TH AV S,Thuja plicata,Western Red Cedar,0,34,47.5656977604926,-122.286158426044,PRIV,N
TRE-39471,1530 15TH AV E,Alnus rubra,Red Alder,0,14,47.6332319233147,-122.312408625627,PRIV,N
TRE-21247,1900 N NORTHLAKE WY,Acer circinatum,Vine Maple,0,2,47.6476163743023,-122.335037875845,PRIV,N
TRE-106869,3014 E HOWELL ST,Pinus contorta,Shore Pine,0,9,47.6176575051621,-122.292698675352,SDOT,N
TRE-61896,739 N 72ND ST,Thuja plicata,Western Red Cedar,0,2,47.6810047427348,-122.348167573797,PRIV,N
TRE-70553,100 23RD AVE S,Acer macrophyllum,Bigleaf Maple,0,30,47.6004948573381,-122.301217500828,PRIV,N
TRE-36300,3043 NW 69TH ST,Pseudotsuga menziesii,Douglas Fir,0,3,47.6786775226419,-122.397626013609,PRIV,N
TRE-52455,111 NW 67TH ST,Betula papyrifera,Paper (Canoe) Birch,0,5,47.6777411308099,-122.35808059226,PRIV,N
TRE-22857,9711 7TH AV NW,Pseudotsuga menziesii,Douglas Fir,0,13,47.6983013527972,-122.364788853502,PRIV,N
TRE-25504,3203 NE 104TH ST,Thuja plicata,Western Red Cedar,0,12,47.7035707284685,-122.294024061686,PRIV,N
TRE-24313,900 N 90TH ST,Pseudotsuga menziesii,Douglas Fir,0,3,47.6942417858323,-122.347034600828,PRIV,N
TRE-10483,5416 21ST AV NE,Acer circinatum,Vine Maple,0,8,47.6685902512553,-122.305397611198,PRIV,N
TRE-45404,1056 25TH AVE E,Acer circinatum,Vine Maple,0,3,47.628442602517,-122.300257954534,PRIV,N
TRE-35481,6503 19TH AVE NW,Acer circinatum,Vine Maple,0,13,47.6760522397161,-122.381449052716,PRIV,N
TRE-31357,2102 3RD AV W,Cornus nuttallii,Pacific Dogwood,0,14,47.6374032287544,-122.360885900933,PRIV,N
TRE-15345,1761 N 145TH ST,Pseudotsuga menziesii,Douglas Fir,0,5,47.7340651445873,-122.337412742569,PRIV,N
TRE-61723,514 N 74TH ST,Thuja plicata,Western Red Cedar,0,42,47.6826044582724,-122.351791493514,PRIV,N
TRE-31398,1903 2ND AV W,Acer macrophyllum,Bigleaf Maple,0,21,47.6360139031384,-122.359855269537,PRIV,N
TRE-27522,2202 N 43RD ST,Acer circinatum,Vine Maple,0,2,47.6591724273364,-122.33223843248,PRIV,N
TRE-500172,,Betula papyrifera,Paper (Canoe) Birch,,9,47.6904480769609,-122.331543423154,SDOT,N
TRE-11579,5500 SAND POINT WY NE,Thuja plicata,Western Red Cedar,0,10,47.669155956837,-122.272286197948,SDOT,N
TRE-75148,3021 17TH AVE S,Pseudotsuga menziesii,Douglas Fir,0,31,47.5760324398869,-122.311043137334,PRIV,N
TRE-61264,559 N 82ND ST,Acer macrophyllum,Bigleaf Maple,0,29,47.6883426784654,-122.350411983605,PRIV,N
TRE-24483,535 N 86TH PL,Pseudotsuga menziesii,Douglas Fir,0,36,47.6915271649557,-122.351365944848,PRIV,N
TRE-54737,913 E DENNY WY,Acer macrophyllum,Bigleaf Maple,0,27,47.6186987772336,-122.319818430855,SDOT,N
TRE-10876,5018 19TH AV NE,Pseudotsuga menziesii,Douglas Fir,0,31,47.6655382899267,-122.307114730429,PRIV,N
TRE-84974,6346 34TH AV SW,Pseudotsuga menziesii,Douglas Fir,0,4,47.5451605331454,-122.375012290472,PRIV,N
TRE-45438,2600 E HELEN ST,Pseudotsuga menziesii,Douglas Fir,0,4,47.6281986850829,-122.298332503071,PRIV,N
TRE-5915,915 N 46TH ST,Pseudotsuga menziesii,Douglas Fir,0,11,47.661229652998,-122.347012768964,SDOT,N
TRE-48542,16TH AVE E AND E ROY ST,Thuja plicata,Western Red Cedar,0,18,47.625254616297,-122.311325582232,PRIV,N
TRE-16611,800 N 43RD ST,Pinus contorta,Shore Pine,0,13,47.6595402411364,-122.357006942498,SDOT,N
TRE-29653,2807 VIEWMONT WY W,Betula papyrifera,Paper (Canoe) Birch,0,12,47.6452390332998,-122.409693717883,PRIV,N
TRE-31397,1903 2ND AV W,Acer macrophyllum,Bigleaf Maple,0,47,47.636144794659,-122.359704949588,PRIV,N
TRE-75691,3274 42ND AVE SW,Acer macrophyllum,Bigleaf Maple,0,38,47.5734379348658,-122.385586468461,PRIV,N
TRE-12932,4823 37TH AV NE,Acer macrophyllum,Bigleaf Maple,0,54,47.664205222528,-122.288156675754,PRIV,N
TRE-7546,2357 N 60TH ST,Acer macrophyllum,Bigleaf Maple,0,21,47.67219930982,-122.328302790482,PRIV,N
TRE-54171,1416 E MARION ST,Fraxinus latifolia,Oregon Ash,0,29,47.6104230119058,-122.313285784296,PRIV,N
